1,2,5,4,1,7,13,22,25,24,21,27,33,3,6,23,26
2,12,11,8,16,7,14,32,31,28,36,27,34,3,17,23,37
3,2,11,4,16,7,13,32,25,28,21,29,34,3,6,23,37
4,12,5,8,1,7,14,22,31,24,36,29,33,3,17,23,26
5,2,5,8,16,7,13,22,31,28,21,30,33,3,17,23,37
6,12,11,4,1,7,14,32,25,24,36,30,34,3,6,23,26
7,2,11,8,1,9,13,32,31,24,36,27,33,3,6,23,37
8,12,5,4,16,9,14,22,25,28,21,27,34,3,17,23,26
9,2,5,4,1,9,14,32,31,28,21,29,33,3,6,23,26
10,12,11,8,16,9,13,22,25,24,36,29,34,3,17,23,37
11,2,11,4,16,9,14,22,31,24,21,30,34,3,6,23,37
12,12,5,8,1,9,13,32,25,28,36,30,33,3,17,23,26
13,2,5,8,16,10,14,32,25,24,21,27,34,3,6,23,26
14,12,11,4,1,10,13,22,31,28,36,27,33,3,17,23,37
15,2,11,8,1,10,13,32,31,24,21,29,34,3,17,23,26
16,12,5,4,16,10,14,22,25,28,36,29,33,3,6,23,37
17,2,5,4,1,10,13,22,25,24,36,30,34,3,17,23,37
18,12,11,8,16,10,14,32,31,28,21,30,33,3,6,23,26
19,12,11,8,16,10,13,22,25,24,21,27,33,3,6,23,37
20,2,5,4,1,10,14,32,31,28,36,27,34,3,17,23,26
21,12,5,4,16,9,13,32,31,24,21,29,33,3,6,23,26
22,12,11,8,16,7,13,22,25,24,36,30,34,3,17,23,26
23,2,5,8,1,9,14,32,25,28,21,30,34,3,6,23,37
24,2,11,8,1,7,14,22,25,28,36,29,33,3,6,23,37
25,2,11,4,1,9,14,22,31,28,36,30,33,3,17,23,26
26,12,5,4,1,7,14,32,31,24,21,27,33,3,17,23,37
27,2,11,8,16,10,13,22,25,24,36,27,33,3,17,23,26
28,12,5,4,1,10,14,22,25,28,21,29,34,3,17,23,26
29,12,5,8,1,7,13,32,31,28,36,29,34,3,6,23,37
30,12,5,8,1,10,13,32,31,24,36,30,33,3,6,23,37
31,12,11,8,16,7,13,32,31,28,21,27,34,3,6,23,26
